Au (Gold) - Palik

wavelength (microns), Re(index)
0.087, 1.061
0.086, 1.053
0.085, 1.048
0.084, 1.041
0.083, 1.037
0.082, 1.033
0.081, 1.03
0.08, 1.029
0.079, 1.028
0.078, 1.028
0.077, 1.029
0.076, 1.03
0.075, 1.033
0.074, 1.038
0.073, 1.042
0.072, 1.05
0.071, 1.06
0.07, 1.075
0.069, 1.088
0.068, 1.107
0.067, 1.125
0.066, 1.14
0.065, 1.155
0.064, 1.157
0.063, 1.153
0.062, 1.146
0.061, 1.134
0.06, 1.113
0.059, 1.085
0.058, 1.055
0.057, 1.022
0.056, 0.985
0.055, 0.95
0.054, 0.915
0.053, 0.89
0.052, 0.872
0.051, 0.86
0.05, 0.85
0.049, 0.846
0.048, 0.846
0.04768, 0.896
0.047, 0.855
0.04592, 0.895
0.04428, 0.901
0.04275, 0.905
0.04203, 0.9
0.04133, 0.887
0.04065, 0.87
0.03999, 0.851
0.03874, 0.805
0.03757, 0.781
0.03646, 0.779
0.03542, 0.783
0.03444, 0.786
0.03351, 0.788
0.03263, 0.791
0.03179, 0.793
0.03099, 0.795
0.03024, 0.799
0.02952, 0.804
0.02883, 0.807
0.02816, 0.807
0.02755, 0.805
0.02695, 0.805
0.02636, 0.809
0.02583, 0.814
0.0253, 0.821
0.0248, 0.826
0.02384, 0.839
0.02296, 0.848
0.02214, 0.856
0.02136, 0.861
0.02066, 0.863
0.02, 0.859
0.01937, 0.857
0.01876, 0.856
0.01823, 0.855
0.01771, 0.857
0.01722, 0.862
0.01675, 0.869
0.01631, 0.873
0.01589, 0.875
0.0155, 0.878
0.01512, 0.881
0.01494, 0.884
0.01485, 0.885
0.01476, 0.886
0.01467, 0.888
0.01459, 0.887
0.01442, 0.886
0.01425, 0.887
0.01417, 0.888
0.01409, 0.889
0.0124, 0.889
0.01181, 0.9
0.01127, 0.911
0.01033, 0.929
0.008265, 0.963
0.006888, 0.979
0.006199, 0.983
0.005636, 0.986
0.004769, 0.988
0.004133, 0.991
0.003136, 0.99525
0.002742, 0.99592
0.002478, 0.996
0.002362, 0.99624
0.002164, 0.99652
